image,width,height,used_by_pages
_c2db_clip0071_zoom50.png,425,336,1
_c2db_clip0072_zoom50.png,425,336,1
_c2db_clip0073.png,1639,302,1
_c2db_clip0074.png,1006,294,1
_c2db_clip0075.png,1006,294,1
_c2db_clip0076.png,975,219,1
_c2db_clip0077_zoom50.png,512,272,1
_c2db_clip0078_zoom50.png,480,336,1
_c2db_clip0079_zoom50.png,496,336,1
_c2db_clip0081_zoom50.png,644,406,1
_c2db_clip0082.png,1562,616,1
_c2db_clip0083.png,829,600,1
_c2db_clip0084.png,974,245,1
_c2db_clip0085.png,975,338,1
_c2db_clip0086.png,560,249,1
_c2db_clip0088_zoom50.png,674,375,1
_c2db_clip0089_zoom50.png,518,335,1
_c2db_clip0090_zoom50.png,486,335,1
_c2db_clip0091_zoom50.png,486,335,1
_c2db_clip0092_zoom50.png,486,335,1
_c2db_clip0093_zoom50.png,486,335,1
_c2db_clip0094.png,1639,307,1
_c2db_clip0095.png,1006,294,1
_c2db_clip0096.png,1006,294,1
_c2db_clip0097.png,955,252,1
_c2db_clip0098_zoom50.png,511,335,1
_c2db_clip0099_zoom50.png,482,335,1
_c2db_clip0100_zoom50.png,496,335,1
_c2db_clip0101_zoom50.png,645,359,1
_c2db_clip0102.png,626,438,1
_c2db_clip0103.png,551,232,1
_c2db_clip0104.png,549,281,1
_c2db_clip0105.png,621,94,1
_c2db_clip0106.png,393,143,1
_c2db_clip0107.png,618,88,1
_c2db_clip0108.png,1002,224,2
_c2db_clip0109_zoom50.png,520,336,1
_c2db_clip0110_zoom50.png,466,336,1
_c2db_clip0111.png,707,248,1
_c2db_clip0112.png,936,232,1
_c2db_clip0113_zoom50.png,466,336,1
_c2db_clip0114.png,560,249,1
_c2db_clip0115_zoom50.png,425,336,1
_c2db_clip0116_zoom50.png,425,336,1
_c2db_clip0117.png,1639,302,1
_c2db_clip0118.png,1006,294,1
_c2db_clip0119.png,1006,294,1
_c2db_clip0120.png,975,219,1
_c2db_clip0121_zoom50.png,512,272,1
_c2db_clip0122_zoom50.png,480,336,1
_c2db_clip0123_zoom50.png,496,336,1
_c2db_clip0124.png,477,459,1
_c2db_clip0125.png,332,209,1
_c2db_clip0126.png,458,322,1
_c2db_clip0127.png,458,322,1
_c2db_clip0128.png,458,322,1
_c2db_clip0129.png,458,322,1
_c2db_clip0130.png,458,322,1
_c2db_clip0131.png,1344,757,1
_c2db_clip0132.png,1256,488,1
_c2db_clip0134.png,1083,671,1
_c2db_clip0135.png,972,670,1
_c2db_clip0136.png,707,248,1
_c2db_clip0138.png,972,226,1
_c2db_clip0139.png,972,670,1
_c2db_clip0140.png,560,249,1
_c2db_clip0141.png,850,671,1
_c2db_clip0142.png,850,671,1
_c2db_clip0143.png,1639,302,1
_c2db_clip0144.png,1006,294,1
_c2db_clip0145.png,1006,294,1
_c2db_clip0146.png,975,219,1
_c2db_clip0147.png,1024,545,1
_c2db_clip0148.png,961,673,1
_c2db_clip0149.png,991,673,1
_c2db_clip0150.png,618,258,1
_c2db_clip0151.png,757,471,1
_c2db_clip0152.png,645,459,1
_caclip0001_zoom50.png,606,430,1
_caclip0002.png,764,255,1
_caclip0003.png,773,396,1
_caclip0004.png,800,829,1
_caclip0005.png,661,316,1
_caclip0006.png,700,582,1
_caclip0008.png,700,582,1
_caclip0009.png,477,401,1
_caclip0010.png,710,614,1
_caclip0011.png,604,381,1
_caclip0013.png,710,614,1
_caclip0014.png,959,538,1
_caclip0016.png,671,579,1
_caclip0017.png,956,710,1
_caclip0019.png,483,364,1
_caclip0020.png,144,126,1
_caclip0021.png,864,386,1
_caclip0022.png,363,363,1
_caclip0023.png,352,36,1
_caclip0024.png,739,245,1
_caclip0025.png,702,476,1
_caclip0026.png,551,167,1
_caclip0029.png,606,419,1
_caclip0030.png,436,104,1
_caclip0031.png,197,30,1
_caclip0032.png,308,389,1
_caclip0033.png,284,25,1
_caclip0034.png,210,30,1
_caclip0035.png,786,538,1
_caclip0036.png,786,538,1
_caclip0038.png,714,540,1
_caclip0039.png,714,540,1
_caclip0040.png,714,540,1
_caclip0041.png,1008,739,1
_candsclip0003.png,273,399,1
_candsclip0004.png,809,512,1
_candsclip0005.png,849,214,1
_candsclip0006.png,849,214,1
_candsclip0007.png,343,193,1
_candsclip0008.png,730,494,1
_candsclip0009.png,982,539,1
_candsclip0010.png,841,493,1
_candsclip0011.png,726,493,1
_candsclip0012.png,767,578,1
_candsclip0013.png,911,565,1
_candsclip0014.png,340,193,1
_candsclip0015.png,691,296,1
_candsclip0016.png,1055,492,1
_candsclip0017.png,918,296,1
_candsclip0018.png,691,296,1
_candsclip0019.png,691,333,2
_candsclip0020.png,691,296,1
_candsclip0021.png,691,296,1
_candsclip0022.png,880,322,1
_candsclip0023.png,691,296,1
_candsclip0024.png,691,296,1
_candsclip0025.png,880,322,1
_candsclip0026.png,785,648,1
_candsclip0027.png,1207,665,1
_candsclip0029.png,784,338,1
_candsclip0030.png,861,400,1
_candsclip0032.png,600,600,1
_candsclip0033.png,753,494,1
_candsclip0034_zoom50.png,715,447,1
_candsclip0035.png,933,523,1
_candsclip0036.png,934,570,1
_candsclip0037.png,532,362,1
_candsclip0038_zoom50.png,715,474,1
_candsclip0039_zoom50.png,715,344,1
_candsclip0040.png,730,494,1
_ccclip0110.png,584,75,1
_ccclip0194.png,1087,416,1
_ccclip0195.png,704,397,1
_ccclip0199.png,597,431,1
_ccclip0201.png,617,552,1
_ccclip0203.png,391,517,1
_ccclip0204.png,425,729,1
_ccclip0205.png,938,443,1
_ccclip0209.png,360,208,1
_ccclip0503.png,34,35,1
_ccclip0504.png,343,212,1
_ccclip0505.png,704,397,1
_ccclip1039.png,731,422,1
_ccclip1040.png,731,76,1
_ccclip1041.png,805,324,1
_ccclip1042.png,712,46,1
_ccclip1045.png,845,517,1
_ccclip1065.png,343,212,1
_ccclip1082.png,989,422,1
_ccclip1083.png,772,147,1
_ccclip1108.png,821,304,1
_ccclip1109.png,584,130,1
_ccclip1111.png,580,130,1
_ccclip1112.png,601,299,1
_ccclip1382.png,731,423,1
_ccclip1416.png,729,421,1
_ccclip1417.png,733,424,1
_ccclip1418.png,732,426,1
_ccclip1419.png,733,424,1
_ccclip1420.png,700,419,1
_ccclip1518.png,721,451,1
_ccclip1519.png,914,543,1
_ccclip1631.png,746,473,1
_ccclip1752.png,814,517,1
_ccclip1752a.png,803,288,1
_ccclip1753.png,799,564,1
_ccclip1754.png,671,564,1
_ccclip1755.png,659,343,1
_ccclip1756.png,478,169,1
_ccclip1757.png,411,392,1
_ccclip1758.png,233,143,1
_ccclip1759.png,619,207,1
_ccclip1760.png,578,126,1
_ccclip1761.png,735,130,1
_ccclip1762.png,619,319,1
_ccclip1763.png,620,446,1
_ccclip1764.png,630,212,1
_ccclip1765.png,619,250,1
_ccclip1766.png,620,356,1
_ccclip1767.png,621,437,1
_ccclip1769.png,619,278,1
_ccclip1770.png,578,141,1
_ccclip1771.png,570,103,1
_ccclip1772.png,620,301,1
_ccclip1774.png,584,170,1
_ccclip1775.png,619,275,1
_ccclip1776.png,587,170,1
_ccclip1777.png,590,136,1
_ccclip1778.png,620,213,1
_ccclip1779.png,569,140,1
_ccclip1780.png,618,243,1
_ccclip1781.png,584,109,1
_ccclip1782.png,581,109,1
_ccclip1783.png,582,138,1
_ccclip1784.png,620,205,1
_ccclip1786.png,584,100,1
_ccclip1787.png,576,63,1
_ccclip1788.png,585,67,1
_ccclip1789.png,581,69,1
_ccclip1790.png,578,113,1
_ccclip1791.png,932,538,1
_ccclip1792.png,28,27,1
_ccclip1793.png,489,620,1
_ccclip1794.png,503,371,1
_ccclip1795.png,1138,532,1
_ccclip1796.png,949,672,1
_ccclip1797.png,1062,576,1
_ccclip1798.png,1106,528,1
_ccclip1799.png,714,442,1
_ccclip1800.png,473,267,1
_ccclip1801.png,965,406,1
_ccclip1805.png,693,651,1
_ccclip1806_zoom85.png,696,655,1
_ccclip1807.png,750,421,1
_ccclip1808.png,689,571,1
_ccclip1809.png,938,498,1
_ccclip1810.png,561,416,1
_ccclip1811.png,747,95,1
